2023-11-22 19:12:38.217 | INFO     | game.world.World:generate:34 - World generation took 1.059278964996338s
2023-11-22 19:12:38.217 | INFO     | game.world.World:__init__:20 - World generated.
2023-11-22 19:12:38.217 | INFO     | game.world.World:__init__:22 - World initialized.
2023-11-22 19:12:38.217 | INFO     | game.Camera:__init__:13 - Camera initialized.
2023-11-22 19:12:38.218 | INFO     | App:__init__:34 - App initialized.
2023-11-22 19:12:38.218 | INFO     | App:run:54 - Running app...
2023-11-22 19:12:43.431 | SUCCESS  | __main__:<module>:10 - Game finished!
2023-11-22 19:12:49.052 | INFO     | __main__:<module>:8 - Running game...
2023-11-22 19:12:49.174 | INFO     | engine.Config:load:8 - Loading config from cfg/config.json...
2023-11-22 19:12:49.325 | INFO     | App:__init__:16 - Fullscreen: 1366x768
2023-11-22 19:12:49.380 | INFO     | App:__init__:27 - Created screen surface.
2023-11-22 19:12:49.381 | INFO     | engine.Config:load:8 - Loading config from cfg/world.json...
2023-11-22 19:12:49.381 | INFO     | game.world.World:load_assets:66 - Loading assets...
2023-11-22 19:12:49.387 | INFO     | game.world.World:load_assets:73 - Loaded 1 textures in 0.004561901092529297s
2023-11-22 19:12:49.388 | INFO     | game.world.World:__init__:17 - Generating world...
2023-11-22 19:12:49.389 | INFO     | engine.Generator:__init__:13 - Generator initialized. Seed=474573453.
2023-11-22 19:12:49.389 | INFO     | game.world.World:generate:27 - Generating 25 chunks...
2023-11-22 19:12:50.600 | INFO     | game.world.World:generate:34 - World generation took 1.2099874019622803s
2023-11-22 19:12:50.600 | INFO     | game.world.World:__init__:20 - World generated.
2023-11-22 19:12:50.600 | INFO     | game.world.World:__init__:22 - World initialized.
2023-11-22 19:12:50.600 | INFO     | game.Camera:__init__:13 - Camera initialized.
2023-11-22 19:12:50.601 | INFO     | App:__init__:34 - App initialized.
2023-11-22 19:12:50.601 | INFO     | App:run:54 - Running app...
2023-11-22 19:12:57.364 | SUCCESS  | __main__:<module>:10 - Game finished!
2023-11-22 19:13:01.821 | INFO     | __main__:<module>:8 - Running game...
2023-11-22 19:13:01.947 | INFO     | engine.Config:load:8 - Loading config from cfg/config.json...
2023-11-22 19:13:02.092 | INFO     | App:__init__:16 - Fullscreen: 1366x768
2023-11-22 19:13:02.142 | INFO     | App:__init__:27 - Created screen surface.
2023-11-22 19:13:02.143 | INFO     | engine.Config:load:8 - Loading config from cfg/world.json...
2023-11-22 19:13:02.143 | INFO     | game.world.World:load_assets:66 - Loading assets...
2023-11-22 19:13:02.145 | INFO     | game.world.World:load_assets:73 - Loaded 1 textures in 0.0s
2023-11-22 19:13:02.145 | INFO     | game.world.World:__init__:17 - Generating world...
2023-11-22 19:13:02.146 | INFO     | engine.Generator:__init__:13 - Generator initialized. Seed=434640710.
2023-11-22 19:13:02.146 | INFO     | game.world.World:generate:27 - Generating 25 chunks...
2023-11-22 19:13:03.147 | INFO     | game.world.World:generate:34 - World generation took 1.0005319118499756s
2023-11-22 19:13:03.147 | INFO     | game.world.World:__init__:20 - World generated.
2023-11-22 19:13:03.147 | INFO     | game.world.World:__init__:22 - World initialized.
2023-11-22 19:13:03.147 | INFO     | game.Camera:__init__:13 - Camera initialized.
2023-11-22 19:13:03.148 | INFO     | App:__init__:34 - App initialized.
2023-11-22 19:13:03.148 | INFO     | App:run:54 - Running app...
2023-11-22 19:13:13.321 | SUCCESS  | __main__:<module>:10 - Game finished!
2023-11-22 19:14:57.697 | INFO     | __main__:<module>:8 - Running game...
2023-11-22 19:14:58.279 | INFO     | engine.Config:load:8 - Loading config from cfg/config.json...
2023-11-22 19:14:58.423 | INFO     | App:__init__:16 - Fullscreen: 1366x768
2023-11-22 19:14:58.470 | INFO     | App:__init__:27 - Created screen surface.
2023-11-22 19:14:58.471 | INFO     | engine.Config:load:8 - Loading config from cfg/world.json...
2023-11-22 19:14:58.472 | INFO     | game.world.World:load_assets:66 - Loading assets...
2023-11-22 19:14:58.473 | INFO     | game.world.World:load_assets:73 - Loaded 1 textures in 0.0s
2023-11-22 19:14:58.473 | INFO     | game.world.World:__init__:17 - Generating world...
2023-11-22 19:14:58.481 | INFO     | engine.Generator:__init__:13 - Generator initialized. Seed=1778833891.
2023-11-22 19:14:58.481 | INFO     | game.world.World:generate:27 - Generating 25 chunks...
2023-11-22 19:15:01.448 | INFO     | game.world.World:generate:34 - World generation took 2.9655330181121826s
2023-11-22 19:15:01.449 | INFO     | game.world.World:__init__:20 - World generated.
2023-11-22 19:15:01.449 | INFO     | game.world.World:__init__:22 - World initialized.
2023-11-22 19:15:01.449 | INFO     | game.Camera:__init__:13 - Camera initialized.
2023-11-22 19:15:01.450 | INFO     | App:__init__:34 - App initialized.
2023-11-22 19:15:01.450 | INFO     | App:run:54 - Running app...
2023-11-22 19:15:01.465 | SUCCESS  | __main__:<module>:10 - Game finished!
2023-11-22 19:15:06.718 | INFO     | __main__:<module>:8 - Running game...
2023-11-22 19:15:06.844 | INFO     | engine.Config:load:8 - Loading config from cfg/config.json...
2023-11-22 19:15:06.994 | INFO     | App:__init__:16 - Fullscreen: 1366x768
2023-11-22 19:15:07.041 | INFO     | App:__init__:27 - Created screen surface.
2023-11-22 19:15:07.042 | INFO     | engine.Config:load:8 - Loading config from cfg/world.json...
2023-11-22 19:15:07.045 | INFO     | game.world.World:load_assets:66 - Loading assets...
2023-11-22 19:15:07.047 | INFO     | game.world.World:load_assets:73 - Loaded 1 textures in 0.0s
2023-11-22 19:15:07.047 | INFO     | game.world.World:__init__:17 - Generating world...
2023-11-22 19:15:07.047 | INFO     | engine.Generator:__init__:13 - Generator initialized. Seed=1695353426.
2023-11-22 19:15:07.047 | INFO     | game.world.World:generate:27 - Generating 25 chunks...
2023-11-22 19:15:08.065 | INFO     | game.world.World:generate:34 - World generation took 1.017230749130249s
2023-11-22 19:15:08.066 | INFO     | game.world.World:__init__:20 - World generated.
2023-11-22 19:15:08.066 | INFO     | game.world.World:__init__:22 - World initialized.
